id,nome,cpf,email,preco,data_pedido,data_entrega,data_atualizacao
0,Cliente 0,12345678900,,-323.88,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-21 01:34:14.505842
1,Cliente 1,33335786408,user1@email.com,408.27,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-21 01:34:14.505842
2,Cliente 2,68962324325,user2@email.com,193.37,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842
3,Cliente 3,71618944002,user3@email.com,95.03,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
4,Cliente 4,38158920780,user4@email.com,22.55,2026-03-24 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
5,Cliente 5,91797023606,user5@email.com,320.82,2026-03-24 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-21 01:34:14.505842
6,Cliente 6,54186405094,user6@email.com,454.48,2026-03-23 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
7,Cliente 7,76632620502,user7@email.com,173.65,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842
8,Cliente 8,55044051993,user8@email.com,50.23,2026-03-24 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-21 01:34:14.505842
9,Cliente 9,31449693045,user9@email.com,229.95,2026-03-19 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842
10,Cliente 10,58640532655,invalid_email,109.0,2026-03-22 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842
11,Cliente 11,15162862914,user11@email.com,200.52,2026-03-19 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-21 01:34:14.505842
12,Cliente 12,33711336281,user12@email.com,347.02,2026-03-21 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842
13,Cliente 13,14322493027,user13@email.com,233.97,2026-03-19 01:34:14.505842,2026-03-18 01:34:14.505842,2026-03-21 01:34:14.505842
